Finished epoch:4 | Loss : 0.2660 | Learning Rate: 0.05 | Eval loss: 0.2853204607963562
Finished epoch:5 | Loss : 0.2468 | Learning Rate: 0.05 | Eval loss: 0.2518211305141449
Finished epoch:6 | Loss : 0.2343 | Learning Rate: 0.05 | Eval loss: 0.22795820236206055
Finished epoch:7 | Loss : 0.2270 | Learning Rate: 0.05 | Eval loss: 0.23662205040454865
Finished epoch:8 | Loss : 0.2167 | Learning Rate: 0.05 | Eval loss: 0.2218092828989029
Finished epoch:9 | Loss : 0.2211 | Learning Rate: 0.05 | Eval loss: 0.29462459683418274
Finished epoch:10 | Loss : 0.2137 | Learning Rate: 0.05 | Eval loss: 0.2642245292663574
Finished epoch:11 | Loss : 0.2095 | Learning Rate: 0.05 | Eval loss: 0.21507371962070465
Finished epoch:12 | Loss : 0.1982 | Learning Rate: 0.05 | Eval loss: 0.2060946524143219
Finished epoch:13 | Loss : 0.1928 | Learning Rate: 0.05 | Eval loss: 0.21174253523349762
Finished epoch:14 | Loss : 0.1987 | Learning Rate: 0.05 | Eval loss: 0.19358310103416443
Finished epoch:15 | Loss : 0.1825 | Learning Rate: 0.05 | Eval loss: 0.18268665671348572
Finished epoch:16 | Loss : 0.1812 | Learning Rate: 0.05 | Eval loss: 0.19714199006557465
Finished epoch:17 | Loss : 0.1864 | Learning Rate: 0.05 | Eval loss: 0.21859213709831238
Finished epoch:18 | Loss : 0.1756 | Learning Rate: 0.05 | Eval loss: 0.2123054713010788
Finished epoch:19 | Loss : 0.1720 | Learning Rate: 0.05 | Eval loss: 0.17279331386089325
Finished epoch:20 | Loss : 0.1651 | Learning Rate: 0.05 | Eval loss: 0.18108965456485748
Finished epoch:21 | Loss : 0.1652 | Learning Rate: 0.05 | Eval loss: 0.1762402355670929
Finished epoch:22 | Loss : 0.1620 | Learning Rate: 0.05 | Eval loss: 0.169608011841774
Finished epoch:23 | Loss : 0.1662 | Learning Rate: 0.05 | Eval loss: 0.17011256515979767
Finished epoch:24 | Loss : 0.1553 | Learning Rate: 0.05 | Eval loss: 0.16255389153957367
Finished epoch:25 | Loss : 0.1582 | Learning Rate: 0.05 | Eval loss: 0.16236406564712524
Finished epoch:26 | Loss : 0.1519 | Learning Rate: 0.05 | Eval loss: 0.15861830115318298
Finished epoch:27 | Loss : 0.1552 | Learning Rate: 0.05 | Eval loss: 0.158282071352005
Finished epoch:28 | Loss : 0.1594 | Learning Rate: 0.05 | Eval loss: 0.2190375030040741
Finished epoch:29 | Loss : 0.1592 | Learning Rate: 0.025 | Eval loss: 0.16674213111400604
Finished epoch:30 | Loss : 0.2889 | Learning Rate: 0.025 | Eval loss: 0.22487418353557587
Finished epoch:31 | Loss : 0.1674 | Learning Rate: 0.025 | Eval loss: 0.16449250280857086
Finished epoch:32 | Loss : 0.1512 | Learning Rate: 0.025 | Eval loss: 0.16947537660598755
Finished epoch:33 | Loss : 0.1488 | Learning Rate: 0.025 | Eval loss: 0.152460515499115
Finished epoch:34 | Loss : 0.1420 | Learning Rate: 0.025 | Eval loss: 0.1745741069316864
Finished epoch:35 | Loss : 0.1447 | Learning Rate: 0.025 | Eval loss: 0.14515799283981323
Finished epoch:36 | Loss : 0.1384 | Learning Rate: 0.025 | Eval loss: 0.14922776818275452
Finished epoch:37 | Loss : 0.1506 | Learning Rate: 0.025 | Eval loss: 0.14837263524532318
Finished epoch:38 | Loss : 0.1381 | Learning Rate: 0.025 | Eval loss: 0.14290772378444672
Finished epoch:39 | Loss : 0.1398 | Learning Rate: 0.025 | Eval loss: 0.14340943098068237
Finished epoch:40 | Loss : 0.1366 | Learning Rate: 0.025 | Eval loss: 0.1381782740354538
Finished epoch:41 | Loss : 0.1371 | Learning Rate: 0.025 | Eval loss: 0.1468942016363144
Finished epoch:42 | Loss : 0.1345 | Learning Rate: 0.025 | Eval loss: 0.14116261899471283
Finished epoch:43 | Loss : 0.1402 | Learning Rate: 0.025 | Eval loss: 0.138249471783638
